feature,mean_abs_shap
sender_prior_txn_count,1.310992452793001
receiver_cnt_1d,0.995432256492799
sender_cnt_1d,0.8586911347404008
receiver_cnt_7d,0.6896008317051786
amount_log,0.6385303473159729
sender_secs_since_last,0.5835690073370156
receiver_secs_since_last,0.5475989358965359
receiver_prior_txn_count,0.5123562199668912
sender_cnt_7d,0.2689503169583314
sender_sum_7d,0.24957299139860883
sender_amount_vs_mean_7d,0.23987244341772498
Payment_type,0.23558565802562115
receiver_amount_vs_mean_7d,0.1824337343009482
hour,0.15505828795904128
sender_mean_7d,0.14891642086029044
receiver_sum_7d,0.12047634761927324
receiver_mean_7d,0.1040505295136287
Received_currency,0.07731572806020817
amount_is_small,0.0637460230975578
currency_mismatch,0.05763857145462582
Payment_currency,0.048723612081617344
cross_border,0.03784251128224024
Receiver_bank_location,0.026773588550920744
Sender_bank_location,0.013791870581102586
day_of_week,0.012513703857455425
amount_is_large,0.0031838791982327476
