day,n,model_version,volume_ok,max_null_rate,unseen_category_rows,psi_max,psi_max_feature,psi_features_over_0.1,psi_known_drift,psi_top3,score_mean,score_p95,score_ks,alert_rate,alerts,precision,recall,positives,alarm
2023-07-01,28539,1,True,0.001574864359585565,0,0.12972132936224318,Payment_type,1,0.8435461543277741,sender_prior_txn_count=0.84; receiver_prior_txn_count=0.37; Payment_type=0.13,0.0008347179434578325,0.0010966513316619183,0.023205577630610708,0.00963593678825467,275,0.08363636363636363,0.8214285714285714,28.0,
2023-07-02,28155,1,True,0.012963894616427774,0,0.13822003731294938,Payment_type,1,0.7898256166481621,sender_prior_txn_count=0.79; receiver_prior_txn_count=0.38; Payment_type=0.14,0.0006785335110895896,0.0009271788996472721,0.023303193038536674,0.007884922749067661,222,0.07657657657657657,0.7727272727272727,22.0,
2023-07-03,29935,1,True,0.013376517629231852,0,0.030352154850437484,receiver_mean_7d,0,0.707511013833815,sender_prior_txn_count=0.71; receiver_prior_txn_count=0.31; receiver_mean_7d=0.03,0.0009436796060795451,0.0012560299738619022,0.01818952396859863,0.011190913646233506,335,0.056716417910447764,0.7916666666666666,24.0,
2023-07-04,31958,1,True,0.010877274243843563,0,0.034423846112348326,Sender_bank_location,0,0.7676535160006448,sender_prior_txn_count=0.77; receiver_prior_txn_count=0.27; Sender_bank_location=0.03,0.0009079392512380387,0.0012172108083511003,0.038586687527379704,0.011202202891294824,358,0.06424581005586592,0.8846153846153846,26.0,
2023-07-05,27410,1,True,0.03002874857317206,0,0.06928588191608895,receiver_mean_7d,0,0.845790117269736,sender_prior_txn_count=0.85; receiver_prior_txn_count=0.29; receiver_mean_7d=0.07,0.0010486471538478884,0.001405207031102977,0.017839708135716892,0.011273257935060198,309,0.08090614886731391,0.8333333333333334,30.0,
2023-07-06,28015,1,True,0.022164606630658445,0,0.04124517723077469,Sender_bank_location,0,0.7619327542410667,sender_prior_txn_count=0.76; receiver_prior_txn_count=0.40; Sender_bank_location=0.04,0.0012516737454007735,0.0013741488047669997,0.024979553810458688,0.010994110298054614,308,0.12337662337662338,0.9047619047619048,42.0,
2023-07-07,29820,1,True,0.014865301117982399,0,0.023587909373856086,sender_mean_7d,0,0.8236543135885008,sender_prior_txn_count=0.82; receiver_prior_txn_count=0.34; sender_mean_7d=0.02,0.0011456374005700209,0.0013460924772563218,0.02372740442655935,0.012776659959758551,381,0.08661417322834646,0.868421052631579,38.0,
2023-07-08,28853,1,True,0.0,0,0.13730687772061984,Payment_type,1,0.9004283391738234,sender_prior_txn_count=0.90; receiver_prior_txn_count=0.33; Payment_type=0.14,0.0009745720357026591,0.0009345747829542416,0.037542441340588484,0.009704363497729872,280,0.09642857142857143,0.84375,32.0,
2023-07-09,29855,1,True,0.0,0,0.12966956945425379,Payment_type,1,1.052637646608826,sender_prior_txn_count=1.05; receiver_prior_txn_count=0.29; Payment_type=0.13,0.0007969483641126406,0.0009093905307099541,0.05543002847094286,0.00984759671746776,294,0.10204081632653061,0.7692307692307693,39.0,
2023-07-10,31988,1,True,0.012983160875418273,0,0.020165994750376528,Receiver_bank_location,0,0.7306941668634062,sender_prior_txn_count=0.73; receiver_prior_txn_count=0.36; Receiver_bank_location=0.02,0.0009896546855471663,0.0011132083139520782,0.03919660122545954,0.010910341378016756,349,0.08882521489971347,0.8157894736842105,38.0,
2023-07-11,26778,1,True,0.03349986047521669,0,0.07047522481519454,receiver_mean_7d,0,0.7963082248454454,sender_prior_txn_count=0.80; receiver_prior_txn_count=0.47; receiver_mean_7d=0.07,0.0012873778966233764,0.0016274985407248033,0.03877146314138474,0.014564194488012548,390,0.08974358974358974,0.8536585365853658,41.0,
2023-07-12,30434,1,True,0.017085936930403528,0,0.028420968094506477,Receiver_bank_location,0,0.943185651807386,sender_prior_txn_count=0.94; receiver_prior_txn_count=0.39; Receiver_bank_location=0.03,0.0009535304957920577,0.0012267312894918443,0.028904070447525854,0.012453177367418019,379,0.08443271767810026,0.8205128205128205,39.0,
2023-07-13,29542,1,True,0.015188364222990719,0,0.016330309299227574,Receiver_bank_location,0,0.8651042474490089,sender_prior_txn_count=0.87; receiver_prior_txn_count=0.40; Receiver_bank_location=0.02,0.0011078415874275515,0.0012983112170287423,0.012592272696499873,0.01330309390020987,393,0.0737913486005089,0.7837837837837838,37.0,
2023-07-14,33188,1,True,0.008523627275158471,0,0.03820178018478497,Receiver_bank_location,0,0.7528697156282433,sender_prior_txn_count=0.75; receiver_prior_txn_count=0.30; Receiver_bank_location=0.04,0.0011993283302248478,0.001224508404924741,0.04613643967699166,0.01307701578883934,434,0.08986175115207373,0.8125,48.0,
2023-07-15,29665,1,True,0.0,0,0.12969573077376184,Payment_type,1,1.0758574177394125,sender_prior_txn_count=1.08; receiver_prior_txn_count=0.32; Payment_type=0.13,0.0008282135478985188,0.0009657712516526104,0.049925396932411936,0.010787122872071465,320,0.078125,0.8620689655172413,29.0,
2023-07-16,28647,1,True,0.0,0,0.1293377123612163,Payment_type,1,0.9513536443435978,sender_prior_txn_count=0.95; receiver_prior_txn_count=0.38; Payment_type=0.13,0.0010401167995288973,0.0009664983278144154,0.03489073410828358,0.010297762418403323,295,0.1152542372881356,0.8717948717948718,39.0,
2023-07-17,28667,1,True,0.014270296104587882,0,0.033958185397511186,receiver_mean_7d,0,0.9890600470029063,sender_prior_txn_count=0.99; receiver_prior_txn_count=0.34; receiver_mean_7d=0.03,0.0010064315822398738,0.0014563642618205656,0.033212424041580896,0.014057976070045696,403,0.07196029776674938,0.8529411764705882,34.0,
2023-07-18,26984,1,True,0.033616227223349504,0,0.033859470742703277,receiver_secs_since_last,0,0.8726778095504168,sender_prior_txn_count=0.87; receiver_prior_txn_count=0.46; receiver_secs_since_last=0.03,0.000994763834710686,0.0015695659302815508,0.024402270975392826,0.014749481174029055,398,0.052763819095477386,0.7241379310344828,29.0,
2023-07-19,31575,1,True,0.012196811956568951,0,0.01659069657761978,Receiver_bank_location,0,0.7743975606421234,sender_prior_txn_count=0.77; receiver_prior_txn_count=0.32; Receiver_bank_location=0.02,0.0012527731897034099,0.0012370730711663747,0.03955743467933498,0.013016627078384798,411,0.08029197080291971,0.8048780487804879,41.0,
2023-07-20,31750,1,True,0.0187601874966217,0,0.03542085267299632,Receiver_bank_location,0,0.7799974454671971,sender_prior_txn_count=0.78; receiver_prior_txn_count=0.48; Receiver_bank_location=0.04,0.001105054545638829,0.0012222556498998137,0.03894755905511804,0.013039370078740158,414,0.06038647342995169,0.78125,32.0,
2023-07-21,28794,1,True,0.019598010774546495,0,0.06721276857710146,Sender_bank_location,0,0.8559292552072788,sender_prior_txn_count=0.86; receiver_prior_txn_count=0.37; Sender_bank_location=0.07,0.001180194157990705,0.0014866110912032605,0.0119900659859693,0.014794748906022087,426,0.06807511737089202,0.725,40.0,
2023-07-22,26448,1,True,0.027341923650028077,0,0.1365331106778892,Payment_type,1,1.0288033715575726,sender_prior_txn_count=1.03; receiver_prior_txn_count=0.39; Payment_type=0.14,0.0009074020265015964,0.001089092530792788,0.024475777374470598,0.01175892316999395,311,0.05787781350482315,0.75,24.0,
2023-07-23,26583,1,True,0.019712432298316818,0,0.1303021695186833,Payment_type,1,1.0739798826963636,sender_prior_txn_count=1.07; receiver_prior_txn_count=0.36; Payment_type=0.13,0.000911217831021153,0.0009971983879728627,0.026368922995899546,0.011097317834706391,295,0.06779661016949153,0.7142857142857143,28.0,
2023-07-24,26461,1,True,0.04090581516561065,0,0.06181805288991659,receiver_mean_7d,0,0.9314834102153733,sender_prior_txn_count=0.93; receiver_prior_txn_count=0.49; receiver_mean_7d=0.06,0.0012660924006226652,0.0015790121275919811,0.022174208835644915,0.014965420807981559,396,0.0707070707070707,0.8484848484848485,33.0,
2023-07-25,28650,1,True,0.02015343480667653,0,0.03232196248245567,Payment_type,0,0.8818176501725932,sender_prior_txn_count=0.88; receiver_prior_txn_count=0.43; Payment_type=0.03,0.0008792811065161585,0.0014025245178224458,0.013131413612565423,0.014101221640488656,404,0.04455445544554455,0.6666666666666666,27.0,
2023-07-26,29697,1,True,0.017333624883520707,0,0.056883874075933434,Sender_bank_location,0,0.976087015001379,sender_prior_txn_count=0.98; receiver_prior_txn_count=0.44; Sender_bank_location=0.06,0.0009110719385048239,0.001289036964182337,0.025703934404148532,0.012762231875273597,379,0.044854881266490766,0.7083333333333334,24.0,
2023-07-27,28626,1,True,0.018173840961810267,0,0.039175153779517885,Receiver_bank_location,0,0.9895161946731257,sender_prior_txn_count=0.99; receiver_prior_txn_count=0.41; Receiver_bank_location=0.04,0.00104485702324548,0.0015179783522044031,0.010975274226227905,0.015510375183399707,444,0.04279279279279279,0.8636363636363636,22.0,alert_rate
2023-07-28,29677,1,True,0.02187879654167077,0,0.025216008994251304,receiver_amount_vs_mean_7d,0,0.9924763030984669,sender_prior_txn_count=0.99; receiver_prior_txn_count=0.50; receiver_amount_vs_mean_7d=0.03,0.0008040865976928297,0.0013082853978663139,0.02317258752569329,0.01287192101627523,382,0.03926701570680628,0.7142857142857143,21.0,
